;;[TIMESERIES]
;;Name YY MM DD HH mm Value
;;---- -- -- -- -- -- -----
100-yr 2021 01 01 00 00 2.9
100-yr 2021 01 01 00 05 2.9
100-yr 2021 01 01 00 10 2.9
100-yr 2021 01 01 00 15 2.9
100-yr 2021 01 01 00 20 2.9
100-yr 2021 01 01 00 25 2.9
100-yr 2021 01 01 00 30 20.9
100-yr 2021 01 01 00 35 2.9
100-yr 2021 01 01 00 40 0.753
100-yr 2021 01 01 00 45 0.753
100-yr 2021 01 01 00 50 0.753
100-yr 2021 01 01 00 55 0.753
100-yr 2021 01 01 01 00 0.753
100-yr 2021 01 01 01 05 0.753
100-yr 2021 01 01 01 10 0.753
100-yr 2021 01 01 01 15 0.753
100-yr 2021 01 01 01 20 0.753
100-yr 2021 01 01 01 25 0.753
100-yr 2021 01 01 01 30 0.753
100-yr 2021 01 01 01 35 0.753
100-yr 2021 01 01 01 40 0.753
100-yr 2021 01 01 01 45 0.753
100-yr 2021 01 01 01 50 0.753
100-yr 2021 01 01 01 55 0.065
